start_date,end_date,scale,gru_hidden
2010-05-31,2013-07-22,10,256
2010-07-29,2013-09-16,3,512
2010-09-28,2013-11-20,8,512
2010-11-30,2014-01-16,7,512
2011-01-26,2014-03-20,1,16
2011-03-30,2014-05-20,7,256
2011-05-30,2014-07-16,2,64
2011-07-26,2014-09-11,1,32
2011-09-21,2014-11-13,9,512
2011-11-23,2015-01-12,10,512
2012-01-20,2015-03-16,3,128
2012-03-23,2015-05-13,6,16
2012-05-25,2015-07-09,2,32
2012-07-23,2015-09-07,10,512
2012-09-17,2015-11-09,1,64
2012-11-19,2016-01-05,10,32
2013-01-17,2016-03-08,2,512
2013-03-21,2016-05-05,6,16
2013-05-23,2016-07-04,1,64
2013-07-23,2016-08-29,6,32
2013-09-17,2016-11-02,7,64
2013-11-21,2016-12-28,2,128
2014-01-17,2017-03-02,8,256
2014-03-21,2017-05-02,4,32
2014-05-21,2017-06-29,8,512
2014-07-17,2017-08-24,7,256
